date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2026-06-11,Mexico,South Africa,2,0,FIFA World Cup,Mexico City,Mexico,FALSE
2026-06-11,South Korea,Czech Republic,2,1,FIFA World Cup,Zapopan,Mexico,TRUE
2026-06-12,Canada,Bosnia and Herzegovina,NA,NA,FIFA World Cup,Toronto,Canada,FALSE
2026-06-12,United States,Paraguay,NA,NA,FIFA World Cup,Inglewood,United States,FALSE
2026-06-13,Qatar,Switzerland,NA,NA,FIFA World Cup,Santa Clara,United States,TRUE
2026-06-13,Brazil,Morocco,NA,NA,FIFA World Cup,East Rutherford,United States,TRUE
2026-06-13,Haiti,Scotland,NA,NA,FIFA World Cup,Foxborough,United States,TRUE
2026-06-13,Australia,Turkey,NA,NA,FIFA World Cup,Vancouver,Canada,TRUE
2026-06-14,Germany,Curaçao,NA,NA,FIFA World Cup,Houston,United States,TRUE
2026-06-14,Ivory Coast,Ecuador,NA,NA,FIFA World Cup,Philadelphia,United States,TRUE
2026-06-14,Netherlands,Japan,NA,NA,FIFA World Cup,Arlington,United States,TRUE
2026-06-14,Sweden,Tunisia,NA,NA,FIFA World Cup,Guadalupe,Mexico,TRUE
2026-06-15,Belgium,Egypt,NA,NA,FIFA World Cup,Seattle,United States,TRUE
2026-06-15,Iran,New Zealand,NA,NA,FIFA World Cup,Inglewood,United States,TRUE
2026-06-15,Spain,Cape Verde,NA,NA,FIFA World Cup,Atlanta,United States,TRUE
2026-06-15,Saudi Arabia,Uruguay,NA,NA,FIFA World Cup,Miami Gardens,United States,TRUE
2026-06-16,France,Senegal,NA,NA,FIFA World Cup,East Rutherford,United States,TRUE
2026-06-16,Iraq,Norway,NA,NA,FIFA World Cup,Foxborough,United States,TRUE
2026-06-16,Argentina,Algeria,NA,NA,FIFA World Cup,Kansas City,United States,TRUE
2026-06-16,Austria,Jordan,NA,NA,FIFA World Cup,Santa Clara,United States,TRUE
2026-06-17,Portugal,DR Congo,NA,NA,FIFA World Cup,Houston,United States,TRUE
2026-06-17,Uzbekistan,Colombia,NA,NA,FIFA World Cup,Mexico City,Mexico,TRUE
2026-06-17,England,Croatia,NA,NA,FIFA World Cup,Arlington,United States,TRUE
2026-06-17,Ghana,Panama,NA,NA,FIFA World Cup,Toronto,Canada,TRUE
2026-06-18,Czech Republic,South Africa,NA,NA,FIFA World Cup,Atlanta,United States,TRUE
2026-06-18,Mexico,South Korea,NA,NA,FIFA World Cup,Zapopan,Mexico,FALSE
2026-06-18,Switzerland,Bosnia and Herzegovina,NA,NA,FIFA World Cup,Inglewood,United States,TRUE
2026-06-18,Canada,Qatar,NA,NA,FIFA World Cup,Vancouver,Canada,FALSE
2026-06-19,Scotland,Morocco,NA,NA,FIFA World Cup,Foxborough,United States,TRUE
2026-06-19,Brazil,Haiti,NA,NA,FIFA World Cup,Philadelphia,United States,TRUE
